Field,Value,Evidence
Buyer,"City of Oulu (Oulun kaupunki)","Organisation Name: City of Oulu — TED BT-500"
Tender title,"Renovation of Solistinkatu and construction of Rata-aukio 2 parking area","Title: Renovation of Solistinkatu… — TED BT-21"
CPV code,"45200000 — Civil engineering, road, water and other construction works","Main Classification Code… (45200000) — TED BT-262"
Deadline,"23 April 2026 at 12:00 (UTC+03:00)","Deadline Receipt Tenders: 23.4.2026 12:00 — TED BT-131"
Submission portal,"Cloudia Competition","Sending system: Cloudia Competition — Overview section"
Language,"Finnish","Notice Official Language: Finnish — TED BT-702"
Contract duration,"5 months","Duration Period: 5 kuukautta — TED BT-36"
Award criteria,"Lowest total price only — no quality weighting stated","edullisin kokonaishinta [lowest total price] — TED BT-540"
Securities/guarantees,"Construction-period bond at 10% of contract price (excl. VAT) per YSE 36 §","Rakennusajan vakuus on 10 % arvonlisäverottomasta urakkahinnasta (YSE 36 §) — TED BT-75"
Mandatory certificates/documents,"Not found in notice — specified in the procurement documents","Exclusion Grounds are indicated in the procurement documents — TED BT-806"
Minimum supplier requirements,"Not found in notice — specified in the procurement documents","Selection criteria are indicated in the procurement documents — TED BT-821"
